4,England,Bolton,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bolton,Summer Holidays,22 Jul 2019(Mon),30 Aug 2019(Fri)
0,England,Bournemouth,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Bournemouth,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Bournemouth,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bournemouth,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Bournemouth,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bournemouth,Summer Holidays,24 Jul 2019(Wed),30 Aug 2019(Fri)
0,England,Bracknell-Forest,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Bracknell-Forest,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Bracknell-Forest,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Bracknell-Forest,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Bracknell-Forest,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bracknell-Forest,Summer Holidays,24 Jul 2019(Wed),3 Sep 2019(Tue)
0,England,Bradford,Autumn Half Term Holidays,22 Oct 2018(Mon),24 Oct 2018(Wed)
1,England,Bradford,Winter Holidays,20 Dec 2018(Thu),1 Jan 2019(Tue)
2,England,Bradford,Spring Half Term Holidays,18 Feb 2019(Mon),20 Feb 2019(Wed)
3,England,Bradford,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,England,Bradford,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Bradford,Summer Holidays,22 Jul 2019(Mon),
0,England,Brent,Autumn Half Term Holidays,22 Oct 2018(Mon),26 Oct 2018(Fri)
1,England,Brent,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,England,Brent,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Brent,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
4,England,Brent,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Brent,Summer Holidays,29 Jul 2019(Mon),30 Aug 2019(Fri)
0,England,Brighton-and-Hove,Autumn Half Term Holidays,22 Oct 2018(Mon),2 Nov 2018(Fri)
1,England,Brighton-and-Hove,Winter Holidays,20 Dec 2018(Thu),2 Jan 2019(Wed)
2,England,Brighton-and-Hove,Spring Half Term Holidays,18 Feb 2019(Mon),22 Feb 2019(Fri)
3,England,Brighton-and-Hove,Spring Holidays,10 Apr 2019(Wed),22 Apr 2019(Mon)
4,England,Brighton-and-Hove,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,England,Brighton-and-Hove,Summer Holidays,29 Jul 2019(Mon),4 Sep 2019(Wed)
0,England,Bristol,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
