1,Scotland,East Dunbartonshire,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,Scotland,East Dunbartonshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scotland,East Dunbartonshire,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Scotland,East Dunbartonshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Scotland,East Dunbartonshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Scotland,East Dunbartonshire,Summer Half Term Holidays,23 May 2019(Thu),27 May 2019(Mon)
7,Scotland,East Dunbartonshire,Summer Holidays,28 Jun 2019(Fri),14 Aug 2019(Wed)
0,Scotland,East Lothian,Autumn Half Term Holidays,14 Sep 2018(Fri),17 Sep 2018(Mon)
1,Scotland,East Lothian,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Scotland,East Lothian,Winter Holidays,21 Dec 2018(Fri),4 Jan 2019(Fri)
3,Scotland,East Lothian,Spring Half Term Holidays,11 Feb 2019(Mon),18 Feb 2019(Mon)
4,Scotland,East Lothian,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Scotland,East Lothian,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
0,Scotland,East Renfrewshire,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,Scotland,East Renfrewshire,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,Scotland,East Renfrewshire,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scotland,East Renfrewshire,Spring Half Term Holidays,8 Feb 2019(Fri),12 Feb 2019(Tue)
4,Scotland,East Renfrewshire,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Scotland,East Renfrewshire,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Scotland,East Renfrewshire,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,Scotland,East Renfrewshire,Summer Holidays,28 Jun 2019(Fri),
0,Scotland,Edinburgh,Autumn Holidays,17 Sep 2018(Mon),17 Sep 2018(Mon)
1,Scotland,Edinburgh,Autumn Half Term Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Scotland,Edinburgh,Winter Holidays,24 Dec 2018(Mon),8 Jan 2019(Tue)
3,Scotland,Edinburgh,Spring Half Term Holidays,11 Feb 2019(Mon),15 Feb 2019(Fri)
4,Scotland,Edinburgh,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Scotland,Edinburgh,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
6,Scotland,Edinburgh,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
0,Scotland,Falkirk,Autumn Half Term Holidays,10 Sep 2018(Mon),10 Sep 2018(Mon)
1,Scotland,Falkirk,Autumn Holidays,15 Oct 2018(Mon),22 Oct 2018(Mon)
2,Scotland,Falkirk,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scotland,Falkirk,Spring Half Term Holidays,8 Feb 2019(Fri),12 Feb 2019(Tue)
4,Scotland,Falkirk,Spring Holidays,1 Apr 2019(Mon),12 Apr 2019(Fri)
5,Scotland,Falkirk,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Scotland,Falkirk,May Holidays,3 May 2019(Fri),6 May 2019(Mon)
7,Scotland,Falkirk,Summer Holidays,1 Jul 2019(Mon),16 Aug 2019(Fri)
0,Scotland,Fife,Autumn Holidays,8 Oct 2018(Mon),19 Oct 2018(Fri)
1,Scotland,Fife,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Scotland,Fife,Spring Half Term Holidays,13 Feb 2019(Wed),15 Feb 2019(Fri)
3,Scotland,Fife,Spring Holidays,5 Apr 2019(Fri),19 Apr 2019(Fri)
4,Scotland,Fife,June Holidays,3 Jun 2019(Mon),4 Jun 2019(Tue)
5,Scotland,Fife,Summer Holidays,1 Jul 2019(Mon),20 Aug 2019(Tue)
0,Scotland,Glasgow,Autumn Half Term Holidays,21 Sep 2018(Fri),24 Sep 2018(Mon)
1,Scotland,Glasgow,Autumn Holidays,12 Oct 2018(Fri),19 Oct 2018(Fri)
2,Scotland,Glasgow,Winter Holidays,21 Dec 2018(Fri),4 Jan 2019(Fri)
3,Scotland,Glasgow,Spring Half Term Holidays,11 Feb 2019(Mon),13 Feb 2019(Wed)
4,Scotland,Glasgow,Spring Holidays,1 Apr 2019(Mon),15 Apr 2019(Mon)
5,Scotland,Glasgow,Easter Holidays,19 Apr 2019(Fri),22 Apr 2019(Mon)
6,Scotland,Glasgow,May Holidays,6 May 2019(Mon),7 May 2019(Tue)
7,Scotland,Glasgow,Summer Half Term Holidays,24 May 2019(Fri),27 May 2019(Mon)
8,Scotland,Glasgow,Summer Holidays,1 Jul 2019(Mon),13 Aug 2019(Tue)
0,Scotland,Highland,Autumn Half Term Holidays,17 Sep 2018(Mon),18 Sep 2018(Tue)
1,Scotland,Highland,Autumn Holidays,15 Oct 2018(Mon),26 Oct 2018(Fri)
2,Scotland,Highland,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
3,Scotland,Highland,Spring Half Term Holidays,18 Feb 2019(Mon),20 Feb 2019(Wed)
4,Scotland,Highland,Spring Holidays,8 Apr 2019(Mon),22 Apr 2019(Mon)
5,Scotland,Highland,Summer Holidays,5 Jul 2019(Fri),19 Aug 2019(Mon)
0,Scotland,Inverclyde,Autumn Half Term Holidays,3 Sep 2018(Mon),4 Sep 2018(Tue)
